epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1766.06,1.84374,1.21577,1.68798,0.83754,0.75228,0.84418,0.39566,1.79805,1.05315,1.63276,0.00991882,0.00991882,0.00991882
43,1903.62,1.88416,1.2838,1.72782,0.83543,0.75632,0.84914,0.40423,1.78044,1.0385,1.61474,0.00991684,0.00991684,0.00991684
44,2040.77,1.82479,1.23943,1.67948,0.83202,0.74351,0.83761,0.40072,1.79454,1.04579,1.6192,0.00991486,0.00991486,0.00991486
45,2177.91,1.85386,1.24136,1.69886,0.83537,0.74991,0.84218,0.40355,1.76989,1.05575,1.61607,0.00991288,0.00991288,0.00991288
46,2315.09,1.85094,1.23254,1.66508,0.83833,0.74538,0.84448,0.40548,1.7573,1.07582,1.60593,0.0099109,0.0099109,0.0099109
47,2452.66,1.8099,1.21725,1.65013,0.85443,0.7489,0.84983,0.41396,1.75402,1.03281,1.59605,0.00990892,0.00990892,0.00990892
48,2592.11,1.79616,1.24059,1.67687,0.83945,0.74719,0.84678,0.40896,1.74128,1.04445,1.61131,0.00990694,0.00990694,0.00990694
49,2729.66,1.84275,1.22459,1.6814,0.82512,0.75211,0.83587,0.38837,1.78003,1.0605,1.62491,0.00990496,0.00990496,0.00990496
50,2866.67,1.82061,1.2526,1.67393,0.83347,0.76499,0.85579,0.41222,1.74308,1.02927,1.59296,0.00990298,0.00990298,0.00990298
51,3003.87,1.82164,1.23918,1.67275,0.82571,0.74169,0.83355,0.39307,1.76594,1.10336,1.61873,0.009901,0.009901,0.009901
52,3140.64,1.79173,1.19112,1.65944,0.84683,0.76121,0.85121,0.40489,1.77113,1.02732,1.61694,0.00989902,0.00989902,0.00989902
53,3277.05,1.82405,1.19953,1.66764,0.83506,0.76171,0.85472,0.42081,1.7269,1.01709,1.59096,0.00989704,0.00989704,0.00989704
54,3413.62,1.8212,1.21291,1.65488,0.82371,0.75261,0.84221,0.41393,1.72883,1.04361,1.58304,0.00989506,0.00989506,0.00989506
55,3549.91,1.80333,1.20139,1.64941,0.84998,0.7543,0.85174,0.40161,1.77023,1.01981,1.61337,0.00989308,0.00989308,0.00989308
56,3685.89,1.80677,1.16833,1.64641,0.85505,0.77939,0.86981,0.42406,1.74379,0.97916,1.60004,0.0098911,0.0098911,0.0098911
57,3821.93,1.76834,1.14348,1.61617,0.83699,0.76963,0.84756,0.38909,1.77982,1.03763,1.62959,0.00988912,0.00988912,0.00988912
58,3957.6,1.78073,1.14139,1.62453,0.84594,0.76989,0.85688,0.4013,1.76361,1.01908,1.60592,0.00988714,0.00988714,0.00988714
59,4093.01,1.75225,1.1543,1.63145,0.86272,0.78261,0.87208,0.42372,1.75299,0.98981,1.60462,0.00988516,0.00988516,0.00988516
60,4228.75,1.79277,1.16495,1.6617,0.85475,0.77251,0.86435,0.41601,1.73773,1.02638,1.61717,0.00988318,0.00988318,0.00988318
61,4363.97,1.80598,1.15935,1.64833,0.85857,0.77688,0.86814,0.42245,1.72106,1.00598,1.58884,0.0098812,0.0098812,0.0098812
62,4499.02,1.79823,1.16177,1.63582,0.86248,0.78362,0.87904,0.4339,1.6964,0.96296,1.56543,0.00987922,0.00987922,0.00987922
63,4634.13,1.78119,1.13422,1.64997,0.86192,0.77525,0.87101,0.42125,1.73291,0.9706,1.60028,0.00987724,0.00987724,0.00987724
64,4769.14,1.79821,1.16322,1.6404,0.83165,0.73694,0.83127,0.39967,1.79301,1.08363,1.63786,0.00987526,0.00987526,0.00987526
65,4904.37,1.76661,1.11082,1.61441,0.85995,0.77817,0.86989,0.43552,1.69385,0.9522,1.5458,0.00987328,0.00987328,0.00987328
66,5039.22,1.73008,1.10704,1.63361,0.86386,0.77738,0.87034,0.43026,1.70755,0.95292,1.56412,0.0098713,0.0098713,0.0098713
67,5173.84,1.76376,1.14218,1.61274,0.86212,0.79238,0.88388,0.44864,1.67265,0.92928,1.54676,0.00986932,0.00986932,0.00986932
68,5308.36,1.7666,1.20454,1.62606,0.85965,0.78342,0.87534,0.44041,1.68673,0.93309,1.54882,0.00986734,0.00986734,0.00986734
69,5442.8,1.72118,1.09626,1.6003,0.85923,0.79188,0.8798,0.43718,1.70908,0.94537,1.57121,0.00986536,0.00986536,0.00986536
70,5577.13,1.76307,1.08291,1.59575,0.86232,0.78733,0.87935,0.4439,1.7092,0.94176,1.56933,0.00986338,0.00986338,0.00986338
71,5712.05,1.72608,1.08804,1.59758,0.87627,0.78429,0.88152,0.44455,1.6939,0.94006,1.56111,0.0098614,0.0098614,0.0098614
72,5846.82,1.73076,1.081,1.60567,0.87489,0.81075,0.90021,0.45543,1.64648,0.91135,1.53425,0.00985942,0.00985942,0.00985942
73,5981.66,1.73451,1.08142,1.59608,0.87966,0.80064,0.89638,0.459,1.64541,0.8988,1.51994,0.00985744,0.00985744,0.00985744
74,6116.08,1.73002,1.08243,1.57239,0.86624,0.7912,0.88449,0.45495,1.65128,0.91906,1.50811,0.00985546,0.00985546,0.00985546
75,6250.46,1.71504,1.09003,1.58747,0.8707,0.7932,0.89145,0.45549,1.64308,0.91725,1.51976,0.00985348,0.00985348,0.00985348
76,6385.09,1.72374,1.07759,1.59113,0.86503,0.79575,0.88664,0.44199,1.65689,0.91963,1.54869,0.0098515,0.0098515,0.0098515
77,6519.42,1.69492,1.08069,1.58148,0.87477,0.79459,0.88878,0.45274,1.63536,0.90328,1.51665,0.00984952,0.00984952,0.00984952
